REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,GasExtraction,2014,5.571447200000001
SIMPLICITY,GasExtraction,2015,5.599128299999999
SIMPLICITY,GasExtraction,2016,5.722435
SIMPLICITY,GasExtraction,2017,5.8935544
SIMPLICITY,GasExtraction,2018,6.0
SIMPLICITY,GasExtraction,2019,6.0
SIMPLICITY,GasExtraction,2020,6.0
SIMPLICITY,GasExtraction,2021,6.0
SIMPLICITY,GasExtraction,2022,6.0
SIMPLICITY,GasExtraction,2023,6.0
SIMPLICITY,GasExtraction,2024,6.0
SIMPLICITY,GasExtraction,2025,6.0
SIMPLICITY,GasExtraction,2026,6.0
SIMPLICITY,GasExtraction,2027,6.0
SIMPLICITY,GasExtraction,2028,6.0
SIMPLICITY,GasExtraction,2029,5.708139
SIMPLICITY,GasExtraction,2030,4.668627
SIMPLICITY,GasExtraction,2031,4.802563
SIMPLICITY,GasExtraction,2032,5.0382098
SIMPLICITY,GasExtraction,2033,4.7403559
SIMPLICITY,GasExtraction,2034,4.2338687
SIMPLICITY,GasExtraction,2035,2.4015303
SIMPLICITY,GasExtraction,2036,2.4015303
SIMPLICITY,GasExtraction,2037,2.4015303
SIMPLICITY,GasExtraction,2038,2.4015303
SIMPLICITY,GasExtraction,2039,2.4015303
SIMPLICITY,GasExtraction,2040,2.0015912
SIMPLICITY,GasImport,2018,0.85987588
SIMPLICITY,GasImport,2019,1.3203885
SIMPLICITY,GasImport,2020,1.7733517
SIMPLICITY,GasImport,2021,2.5131915
SIMPLICITY,GasImport,2022,2.8831115
SIMPLICITY,GasImport,2023,3.5273258000000003
SIMPLICITY,GasImport,2024,3.8267848
SIMPLICITY,GasImport,2025,4.0809475
SIMPLICITY,GasImport,2026,4.470999099999999
SIMPLICITY,GasImport,2027,4.873633
SIMPLICITY,GasImport,2028,4.4672194
SIMPLICITY,NGCC,2014,0.55
SIMPLICITY,NGCC,2015,0.55
SIMPLICITY,NGCC,2016,0.55
SIMPLICITY,NGCC,2017,0.55
SIMPLICITY,NGCC,2018,0.55
SIMPLICITY,NGCC,2019,0.55
SIMPLICITY,NGCC,2020,0.55
SIMPLICITY,NGCC,2021,0.55
SIMPLICITY,NGCC,2022,0.55
SIMPLICITY,NGCC,2023,0.55
SIMPLICITY,NGCC,2024,0.55
SIMPLICITY,NGCC,2025,0.55
SIMPLICITY,NGCC,2026,0.55
SIMPLICITY,NGCC,2027,0.55
SIMPLICITY,NGCC,2028,0.55
SIMPLICITY,NGCC,2029,0.55
SIMPLICITY,NGCC,2030,0.55
SIMPLICITY,NGCC,2031,0.55
SIMPLICITY,NGCC,2032,0.55
SIMPLICITY,NGCC,2033,0.55
SIMPLICITY,NGCC,2034,0.55
SIMPLICITY,NGCC,2035,0.038228927999999995
SIMPLICITY,NGCC,2036,0.038228927999999995
SIMPLICITY,NGCC,2037,0.038228927999999995
SIMPLICITY,NGCC,2038,0.038228927999999995
SIMPLICITY,NGCC,2039,0.038228927999999995
SIMPLICITY,NGCC,2040,0.038228927999999995
SIMPLICITY,TD,2014,0.088689475
SIMPLICITY,TD,2015,0.08913011828
SIMPLICITY,TD,2016,0.09109298378
SIMPLICITY,TD,2017,0.09381696038
SIMPLICITY,TD,2018,0.10919941638
SIMPLICITY,TD,2019,0.11653011818
SIMPLICITY,TD,2020,0.12374064458
SIMPLICITY,TD,2021,0.13551783758000002
SIMPLICITY,TD,2022,0.14140643418
SIMPLICITY,TD,2023,0.15166140518000001
SIMPLICITY,TD,2024,0.15642836428
SIMPLICITY,TD,2025,0.16047427078
SIMPLICITY,TD,2026,0.16668333518
SIMPLICITY,TD,2027,0.17309269198
SIMPLICITY,TD,2028,0.17769941717999999
SIMPLICITY,TD,2029,0.18178538218
SIMPLICITY,TD,2030,0.18571111318
SIMPLICITY,TD,2031,0.19103889098
SIMPLICITY,TD,2032,0.20041257527999998
SIMPLICITY,TD,2033,0.20586052857999998
SIMPLICITY,TD,2034,0.21134854037999998
SIMPLICITY,TD,2035,0.21643596737999998
SIMPLICITY,TD,2036,0.22252485628
SIMPLICITY,TD,2037,0.22961520718000003
SIMPLICITY,TD,2038,0.23650526568000002
SIMPLICITY,TD,2039,0.24359561658
SIMPLICITY,TD,2040,0.25328976868
SIMPLICITY,WIND,2028,0.044304996
SIMPLICITY,WIND,2029,0.363679876
SIMPLICITY,WIND,2030,0.44557298300000003
SIMPLICITY,WIND,2031,0.45835581500000006
SIMPLICITY,WIND,2032,0.48084591000000004
SIMPLICITY,WIND,2033,0.521603358
SIMPLICITY,WIND,2034,0.575805616
SIMPLICITY,WIND,2035,0.712828156
SIMPLICITY,WIND,2036,0.737183712
SIMPLICITY,WIND,2037,0.765545116
SIMPLICITY,WIND,2038,0.7931053499999999
SIMPLICITY,WIND,2039,0.8214667539999999
SIMPLICITY,WIND,2040,0.885709197
