REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,Backstop,2032,0.011881476
SIMPLICITY,Backstop,2033,0.034300294
SIMPLICITY,Backstop,2034,0.056750508
SIMPLICITY,Backstop,2035,0.078886764
SIMPLICITY,Backstop,2036,0.09273342300000001
SIMPLICITY,Backstop,2037,0.10736498
SIMPLICITY,Backstop,2038,0.12499357
SIMPLICITY,Backstop,2039,0.14337783
SIMPLICITY,Backstop,2040,0.16407057
SIMPLICITY,GasExtraction,2014,5.571447200000001
SIMPLICITY,GasExtraction,2015,5.599128299999999
SIMPLICITY,GasExtraction,2016,5.722435
SIMPLICITY,GasExtraction,2017,5.8935544
SIMPLICITY,GasExtraction,2018,6.0
SIMPLICITY,GasExtraction,2019,6.0
SIMPLICITY,GasExtraction,2020,6.0
SIMPLICITY,GasExtraction,2021,6.0
SIMPLICITY,GasExtraction,2022,6.0
SIMPLICITY,GasExtraction,2023,6.0
SIMPLICITY,GasExtraction,2024,6.0
SIMPLICITY,GasExtraction,2025,6.0
SIMPLICITY,GasExtraction,2026,6.0
SIMPLICITY,GasExtraction,2027,6.0
SIMPLICITY,GasExtraction,2028,6.0
SIMPLICITY,GasExtraction,2029,6.0
SIMPLICITY,GasExtraction,2030,6.0
SIMPLICITY,GasExtraction,2031,6.0
SIMPLICITY,GasExtraction,2032,6.0
SIMPLICITY,GasExtraction,2033,6.0
SIMPLICITY,GasExtraction,2034,6.0
SIMPLICITY,GasExtraction,2035,6.0
SIMPLICITY,GasExtraction,2036,6.0
SIMPLICITY,GasExtraction,2037,6.0
SIMPLICITY,GasExtraction,2038,6.0
SIMPLICITY,GasExtraction,2039,5.8170121
SIMPLICITY,GasExtraction,2040,5.0574851999999995
SIMPLICITY,GasImport,2018,0.85987588
SIMPLICITY,GasImport,2019,1.3203885
SIMPLICITY,GasImport,2020,1.7733517
SIMPLICITY,GasImport,2021,2.5131915
SIMPLICITY,GasImport,2022,2.8831115
SIMPLICITY,GasImport,2023,3.5273258000000003
SIMPLICITY,GasImport,2024,3.8267848
SIMPLICITY,GasImport,2025,4.0809475
SIMPLICITY,GasImport,2026,4.470999099999999
SIMPLICITY,GasImport,2027,4.873633
SIMPLICITY,GasImport,2028,5.1630262
SIMPLICITY,GasImport,2029,5.4197053
SIMPLICITY,GasImport,2030,5.6628194
SIMPLICITY,GasImport,2031,5.9974085
SIMPLICITY,GasImport,2032,5.8004094
SIMPLICITY,GasImport,2033,4.660078599999999
SIMPLICITY,GasImport,2034,3.5201873
SIMPLICITY,GasImport,2035,2.3758998
SIMPLICITY,GasImport,2036,1.8426630000000002
SIMPLICITY,GasImport,2037,1.3204168
SIMPLICITY,GasImport,2038,0.58740992
SIMPLICITY,NGCC,2035,0.13333235
SIMPLICITY,NGCC,2036,0.13333235
SIMPLICITY,NGCC,2037,0.13333235
SIMPLICITY,NGCC,2038,0.13333235
SIMPLICITY,NGCC,2039,0.13333235
SIMPLICITY,NGCC,2040,0.13333235
SIMPLICITY,SOLPV,2030,0.56194717
SIMPLICITY,SOLPV,2031,0.6714912500000001
SIMPLICITY,SOLPV,2032,0.7615677880000001
SIMPLICITY,SOLPV,2033,0.7822700100000002
SIMPLICITY,SOLPV,2034,0.8031244550000002
SIMPLICITY,SOLPV,2035,0.8224566770000001
SIMPLICITY,SOLPV,2036,0.8455944550000001
SIMPLICITY,SOLPV,2037,0.8725377890000001
SIMPLICITY,SOLPV,2038,0.8987200110000001
SIMPLICITY,SOLPV,2039,0.9256633450000001
SIMPLICITY,SOLPV,2040,0.9625011230000001
SIMPLICITY,TD,2014,0.088689475
SIMPLICITY,TD,2015,0.08913011828
SIMPLICITY,TD,2016,0.09109298378
SIMPLICITY,TD,2017,0.09381696038
SIMPLICITY,TD,2018,0.10919941638
SIMPLICITY,TD,2019,0.11653011818
SIMPLICITY,TD,2020,0.12374064458
SIMPLICITY,TD,2021,0.13551783758000002
SIMPLICITY,TD,2022,0.14140643418
SIMPLICITY,TD,2023,0.15166140518000001
SIMPLICITY,TD,2024,0.15642836428
SIMPLICITY,TD,2025,0.16047427078
SIMPLICITY,TD,2026,0.16668333518
SIMPLICITY,TD,2027,0.17309269198
SIMPLICITY,TD,2028,0.17769941717999999
SIMPLICITY,TD,2029,0.18178538218
SIMPLICITY,TD,2030,0.18565541098000002
SIMPLICITY,TD,2031,0.19098159078000002
SIMPLICITY,TD,2032,0.19098159078000002
SIMPLICITY,TD,2033,0.19098159078000002
SIMPLICITY,TD,2034,0.19098159078000002
SIMPLICITY,TD,2035,0.19098159078000002
SIMPLICITY,TD,2036,0.19098159078000002
SIMPLICITY,TD,2037,0.19098159078000002
SIMPLICITY,TD,2038,0.19098159078000002
SIMPLICITY,TD,2039,0.19098159078000002
SIMPLICITY,TD,2040,0.19098159078000002
